# Atom, Total Energy [eV], Extrapolated to 0 K [eV], Total Mermin free energy [eV], Force related energy [eV]
H, -6.491200, -6.491200, -6.491200, -6.491200
He, -31.528400, -31.528400, -31.528400, -31.528400
Li, -2.860900, -2.860900, -2.860900, -2.860900
Be, -11.211600, -11.211600, -11.211600, -11.211600
B, -22.477100, -22.477100, -22.477100, -22.477100
C, -38.064400, -38.064400, -38.064400, -38.064400
N, -58.429700, -58.429700, -58.429700, -58.429700
O, -84.043000, -84.043000, -84.043000, -84.043000
F, -115.358400, -115.358400, -115.358400, -115.358400
Ne, -152.820800, -152.820800, -152.820800, -152.820800
Na, -2.728000, -2.728000, -2.728000, -2.728000
Mg, -9.076700, -9.076700, -9.076700, -9.076700
Al, -17.617200, -17.617200, -17.617200, -17.617200
Si, -29.109800, -29.109800, -29.109800, -29.109800
P, -44.255900, -44.255900, -44.255900, -44.255900
S, -62.532700, -62.532700, -62.532700, -62.532700
Cl, -84.347900, -84.347900, -84.347900, -84.347900
Ar, -110.184800, -110.184800, -110.184800, -110.184800
K, -2.290700, -2.290700, -2.290700, -2.290700
Ca, -7.486700, -7.486700, -7.486700, -7.486700
Sc, -11.476000, -11.476000, -11.476000, -11.476000
Ti, -17.399900, -17.399900, -17.399900, -17.399900
V, -25.802700, -25.802700, -25.802700, -25.802700
Cr, -18.495000, -18.495000, -18.495000, -18.495000
Mn, -47.391300, -47.391300, -47.391300, -47.391300
Fe, -60.039900, -60.039900, -60.039900, -60.039900
Co, -73.845700, -73.845700, -73.845700, -73.845700
Ni, -88.758100, -88.758100, -88.758100, -88.758100
Cu, -54.980000, -54.980000, -54.980000, -54.980000
Zn, -113.382300, -113.382300, -113.382300, -113.382300
Ga, -20.442000, -20.442000, -20.442000, -20.442000
Ge, -31.222500, -31.222500, -31.222500, -31.222500
As, -44.545000, -44.545000, -44.545000, -44.545000
Se, -60.594200, -60.594200, -60.594200, -60.594200
Br, -79.542500, -79.542500, -79.542500, -79.542500
Kr, -101.559000, -101.559000, -101.559000, -101.559000
Rb, -2.198800, -2.198800, -2.198800, -2.198800
Sr, -7.013800, -7.013800, -7.013800, -7.013800
Y, -10.667600, -10.667600, -10.667600, -10.667600
Zr, -16.040300, -16.040300, -16.040400, -16.040400
Nb, -23.239900, -23.239900, -23.239900, -23.239900
Mo, -33.897900, -33.897900, -33.897900, -33.897900
Tc, -46.624900, -46.624900, -46.624900, -46.624900
Ru, -41.596000, -41.596000, -41.596000, -41.596000
Rh, -53.445100, -53.445100, -53.445100, -53.445100
Pd, -40.448400, -40.448400, -40.448400, -40.448400
Ag, -78.826300, -78.826300, -78.826300, -78.826300
Cd, -128.668200, -128.668200, -128.668200, -128.668200
In, -18.898700, -18.898700, -18.898700, -18.898700
Sn, -28.444500, -28.444500, -28.444500, -28.444500
Sb, -40.104500, -40.104500, -40.104500, -40.104500
Te, -53.989800, -53.989800, -53.989800, -53.989800
I, -70.204200, -70.204200, -70.204200, -70.204200
Xe, -88.850400, -88.850400, -88.850400, -88.850400
Cs, -2.044600, -2.044600, -2.044600, -2.044600
Ba, -6.411700, -6.411700, -6.411700, -6.411700
La, -10.398300, -10.398300, -10.398300, -10.398300
Ce, , , , 
Pr, , , , 
Nd, , , , 
Pm, , , , 
Sm, , , , 
Eu, , , , 
Gd, , , , 
Tb, , , , 
Dy, , , , 
Ho, , , , 
Er, , , , 
Tm, , , , 
Yb, , , , 
Lu, -10.945200, -10.945200, -10.945200, -10.945200
Hf, -15.538700, -15.538700, -15.538700, -15.538700
Ta, -21.629700, -21.629700, -21.629700, -21.629700
W, -29.330700, -29.330700, -29.330700, -29.330700
Re, -38.718500, -38.718500, -38.718500, -38.718500
Os, -50.103100, -50.103100, -50.103100, -50.103100
Ir, -64.415000, -64.415000, -64.415000, -64.415000
Pt, -61.455600, -61.455600, -61.455600, -61.455600
Au, -74.568800, -74.568800, -74.568800, -74.568800
Hg, -13.591300, -13.591300, -13.591300, -13.591300
Tl, -21.373600, -21.373600, -21.373600, -21.373600
Pb, -30.975600, -30.975600, -30.975600, -30.975600
Bi, -42.555300, -42.555300, -42.555300, -42.555300
Po, -56.188200, -56.188200, -56.188200, -56.188200
At, -71.943300, -71.943300, -71.943300, -71.943300
Rn, -89.890100, -89.890100, -89.890100, -89.890100
